,cancer,RGS18,URS000002084A,URS00003B57B1
1,normal,5.50596198325094,6.34674777206064,5.70476489237537
2,normal,5.87826791699009,6.54455502785154,5.90128279951961
3,normal,5.53133142542498,5.96646350715472,5.96646350715472
4,normal,6.18350842864801,0,4.12886358514214
5,normal,5.30919692825389,4.84656527341172,0
6,normal,5.63042242165152,5.03860707014096,5.73192886679043
7,normal,5.58061169150259,5.91172170560546,5.47295088671343
8,normal,6.12579612010157,3.57263929667472,3.57263929667472
9,normal,7.76887113558748,0,0
10,normal,6.09681011890504,4.08014060497708,5.48424539462017
11,normal,4.30370857509588,3.51574360725325,3.7576010624631
12,normal,6.48203069631258,3.34952380680056,3.34952380680056
13,cx_ca,3.48598447558953,4.14747424358807,4.91951180346891
14,cx_ca,3.85108907297229,5.0447176402328,5.53698099456623
15,cx_ca,4.08072698266497,4.14471036243494,5.93256435863533
16,cx_ca,3.56496780910302,5.35327984731908,7.13520331797754
17,cx_ca,3.66567530147569,5.26200311148572,6.44222838863287
18,cx_ca,3.70552379585201,4.26131951038654,5.22320562736302
19,cx_ca,5.0609497804537,5.36769808139814,7.02154575318339
20,cx_ca,4.90046009174649,3.74382719146145,7.22653539705629
21,cx_ca,4.19099239238511,10.2658802236823,8.80849771819062
22,cx_ca,3.38615965576711,9.40489158714469,7.60947699974811
23,cx_ca,3.28187314309172,9.65226391945287,8.14808093205306
24,cx_ca,4.12370360407798,10.7279675787125,7.6248200810565
25,cx_ca,4.71857117847195,10.8723042647156,8.16873739014562
26,cx_ca,3.65787422408168,8.50940214316832,8.1259474916959
27,cx_ca,3.41772777964882,8.09594214774315,10.4937588844892
28,cx_ca,3.94310000340929,8.23010113788107,8.07863180561499
29,cx_ca,5.1093167178604,8.39070580546634,7.31747155049761
30,cx_ca,4.15057632920919,9.87945165665262,7.71487754069302
31,cx_ca,4.11858581463354,8.81465981663882,6.82424004533355
32,cx_ca,2.88444377783532,7.76646742297189,6.97776901725425
33,cx_ca,4.41285108459146,0,5.25657661259798
34,cx_ca,4.0170990700509,6.60216928112235,5.50391374368334
35,cx_ca,4.60047547276871,3.38860506167017,5.44720138181536
36,cx_ca,5.30793159558263,4.95803560726359,5.21331337216847
37,cx_ca,4.57331514009516,5.08629798892316,7.57434535866302
38,cx_ca,4.84325472711616,4.31043188589634,4.87095124700132
39,cx_ca,2.35326541280361,4.39955544221625,5.10891618938251
40,cx_ca,4.086689434304,4.91992142956369,6.36302481982594
41,cx_ca,3.95327119978256,3.08336809856975,6.61745740037198
42,cx_ca,5.56755642965554,3.76074863145029,6.58416376297719
